Sauce,Christoph,Neele,Arne,Lorenz,Koegl,Anton,Christoph,Amelie,Max,Kiara,Jette,Anton 2,
Knorr Cocktail,hellgrau 3,,Brtöchentüte 12,hellgelb 5,scheißen 14,vergilbt 3,5 fünf,7 Standard,Haß 5,7 Hamburg,10 Toskana,,"7,1"
Rewe Beste Wahl Ayoli ,Zitronenbaum 5,,Yumyum 4,Jaa 7,Gornix 5,Sosse 15,9 Mykonos,7 Knoblauch,Fugenkleister 3,10 Lübeck,7 Sodbrennen,,"7,2"
New York Pommes,Branntweinessig 3,,Lecker 13,Instrument 4,Montagmorgen 9,Schlecht 1,15 Tomatenmayonnaisestulle,3 Hotdogwasser,1 Zahnpasta,3 Castorp-Rauxel,Freibad 9,,"6,1"
Heinz Hot Chili,Gurkenwasser 9,,Salsa 10,Fruchtiglustig 11,Ungarn 9,Letscho 10,Gulasch 10,6 Sirup,Christstollen 12,Schwerin 4,Sombrero 4,,"8,5"
Homann Chili Cheese,Tube 1,Ew 4,Geht 5,McDonalds 3,0 Amerika,Kotze 1,12 Knäckebrot,1 Sodbrennen,Asbest 2,1 Houston,3 Tortilla,,"3,0"
Tomi vegan Burger Tomate,Cocktail 6,unburgerich 3,Kindergeburtstag 3,Sauregurke 6,5 irrelevant,säuerlich 5,11 Komischeranton ,4 künstlich,Fliegenpilz 3,2 Neustadt,7 Hauswand ,,"5,0"
Homann Hotdog Sweet Onion ,Röstzwiebel 8,Dänisch 14,Oke 7,Ikea 8,13 vollkommen,Curry 7,4 Peking,8 Süßsauer,Curry 10,10 Kopenhagen,12 Zucker,,"9,2"
Heinz American Burger,Rostock 5,Orange 9,11 Angenehm,Zwiebel 4,Lachs 8,Alge 4,Dillburgersauce 7,4 Gurkensalat,Dill 0,Heiligenhafen 6,6 Lack,,"5,8"
Grüne Dewelay Süßsauer,Gewürzketchup 8,Süßsauer 7,Dinonuggets 12,Plastik 6,8 Zimt,Zuckerwatte 3,15 Mcdonadsüßsauer,Asiaimbiss 2,Werthersoriginal 9,3 Peking,14 Autobahn,,"7,9"
Maggi Currywust ,TomKaden 9,Salzbrenner 10,Curry 9,Maxiking 8,Curryking 8,15 Sellerie,4 Heule,4 Fohlen,Liebstöckel 14,Delmhorst 3,Fußballspielmitbesoffenen 3,,"7,9"
Blockhaus Knoblauch ,Joghurtkulturen 8,Stückelig 11,unlecker 4,Garten 12,6 Standard ,15 Fettig,12 Liebevollherzlich,6 Kräuterquark ,Enttäuschung 0,10 Spreewald,Dosenfutter 9,,"8,5"
Pfeffersteak Pikant,Gulasch 10,Pilze 9,Steak 9,Holzkohle 10,13 Loyal,8 HeißeTasse,0 Rot,5 Senf,Zucchini 11,7 NewMexico,Mexicanischesdosenfutter 7,,"7,4"
Knorr Honig Senf ,Senftasting 6,Räucherlachs 6,Frisch 10,Weihnachten 14,CaesarSalad 9,Vinegrette 8,7 Dill,6 Lachsbrötchen,Übelkeit 5,Dijon 5,7 Sonnenbrand,14 pornös,"8,0"
Knorr Karibik,Barfußlaufen 12,Rachen 6,Knoblauch 4,Balkan 7,Papageienfisch 6,3 Tannenbaum,6 Krabbe,5 Raufasertapete,Perserteppich 8,2 Neumünster ,13 göttlich,2 Cremig,"6,2"
Knorr Schaschlik,Wowganzschönsüß 7,Wurstbude 8,Gehtso 4,Curry36 10,Pferdewurst 11,14 Halloween,12 Ungarischessouflee,4 Olive,Pizzadiavolo 10,Unterhaching 7,Kotze 2,7 Herbstlich,"8,0"
Worcester,England 3,Bäh 0,Göühwein 1,Genuss 14,2 Schwach,1 SaureKirsche,13 QueenElizabethII,Shepherdspie 3,Britisch 15,Neukölln 0,Metzger 1,8 Lederjacke,"5,1"
P&W Pommfrites,Wässrig 7,Cremig 5,Brötchekrümel 7,Crackhure 2,4 Majo,1 Zuviel,4 Eischale,5 Dejavu,Bienvenue 12,Latvia 6,Pommes 8,2 Lieblich,"5,3"
Hüne BBQ Rauchig süß ,Schinken 8,Pizza 8,Scheiße 4,Langsam 11,12 Midwest,4 Funnyfrisch,Steakmediumrare 9,1 Räucheraal,Auto-da-feé 7,0 Kentucky,Nö 0,Cowboylederstiefel 14,"6,5"
Deweley Burgersauce,Hocken 9,Sauer 3,Puff 5,Cornichons 5,4 Mussnicht,3 Seehund,1 Senf,2 Nasserhund,Hämoglobin 6,0 Bielefeld,Pfeffermühle 8,senfsäure 6,"4,3"
Hellmann Chili,Beschleunigung 5,Jalapeno 5,Bums 3,Suspekt 3,Beschissen 5,2 Fusel,12 Sportzigarette,1 Gulli,Altglas 4,4 Cassedo,Dreieck 6,Spicy 3,"4,4"
Homann Gomg Original ,Gelb 7,nobi 4,Garnichtsoschlecht 10,Röstzwiebel 5,schmcktnicht 1 ,4 Hattenwirschon,Aschgelb 4,4 Senfgelb,H-MH 8,8 Amsterdam,Feige 9,13 himmlischsüß,"6,4"
Knorr Kloblauch mild cremig,Flieder 6,Nachgeschmack 2,nett 8,Zug 10,kopierdaseinfach 5,11 einfachknoblauh,feuerrrot 10,3 mehlig,ferienlager 1,Koblenz 5,Salzwasser 11,Kindheit 15,"7,3"
Cuvée,4 Schonwieder,Irritierend 3,Tripper 5 ,Essiggurke 6,Spreewald 12,6 Medium,Bernstein 5,7 Zitronig,Paradigmenwe chsel 15,12 Mumbai ,Vorzüglich 9,12 Krokodi,"8,0"
